species_code,species_name,sci_name,length,fisher_num,fisher_name,photo_num,photo_ID_Kat,notes
BOCO,Bocaccio,Sebastes paucispinus,15,13,,259,BOCO,
STAR,Starry rockfish,Sebastes constellatus,10,13,,260,STAR,Originally identified as a copper. Definitely a starry from photo.
CHIL,Chilipepper rockfish,Sebastes goodei,11.5,13,,261,CHIL,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,13,,262,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,9,13,,missing,,
CHIL,Chilipepper rockfish,Sebastes goodei,11,13,,263,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,18,14,,264,VERM,
BOCO,Bocaccio,Sebastes paucispinus,21,14,,265,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,15.5,14,,266,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,16.5,14,,267,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,13,14,,268,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,11.5,14,,269,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,14,,270,VERM,
WIDO,Widow rockfish,Sebastes entomelas,12,14,,271,WIDO,
STAR,Starry rockfish,Sebastes constellatus,14,14,,272,STAR,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,14,,273,CHIL,
BOCO,Bocaccio,Sebastes paucispinus,12,14,,274,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,12,14,,275,BOCO,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,14,,276,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,12,15,,277,VERM,
BOCO,Bocaccio,Sebastes paucispinus,18,15,,278,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,11,15,,279,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,11,15,,280,VERM,
BOCO,Bocaccio,Sebastes paucispinus,19,15,,281,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,15.5,15,,282,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,13,15,,283,VERM,
BOCO,Bocaccio,Sebastes paucispinus,14,15,,284,BOCO,
BLUE,Blue rockfish,Sebastes mystinus,10,15,,285,BLUE,
FLAG,Flag rockfish,Sebastes rubrivinctus,11,15,,286,FLAG,
